rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_period,koi_duration,koi_depth,koi_prad,koi_teq,koi_steff,koi_slogg,koi_srad
159,6032497,K00845.01,Kepler-698 b,CONFIRMED,CANDIDATE,1,16.3297527,6.271,1187.5,3.75,727,5878,4.444,0.987
160,6061119,K00846.01,Kepler-699 b,CONFIRMED,CANDIDATE,0.985,27.80756622,4.21587,25391,13.84,554,5862,4.584,0.785
161,6191521,K00847.01,Kepler-700 b,CONFIRMED,CANDIDATE,0.942,80.8723469,11.195,3604.6,7.59,452,5510,4.222,1.238
162,6267425,K00848.01,,FALSE POSITIVE,FALSE POSITIVE,0,3.166465862,2.9381,4357.2,26.82,954,4968,4.575,0.704
163,3531558,K00118.01,Kepler-467 b,CONFIRMED,CANDIDATE,0.912,24.99324319,5.9409,269.6,2.29,712,5718,4.181,1.317
164,6276477,K00849.01,Kepler-701 b,CONFIRMED,CANDIDATE,1,10.35533116,3.1775,750.6,2.47,777,5501,4.462,0.918
165,6863998,K00867.01,Kepler-709 b,CONFIRMED,CANDIDATE,1,16.08518937,3.984,1442.4,3.68,613,5239,4.523,0.826
166,6867155,K00868.01,,CANDIDATE,CANDIDATE,0.998,235.9986399,8.2284,20715,10.59,188,4245,4.627,0.657
167,6948054,K00869.01,Kepler-245 b,CONFIRMED,CANDIDATE,1,7.49018305,2.7297,1123.6,2.56,753,5103,4.562,0.787
168,6948054,K00869.02,Kepler-245 d,CONFIRMED,CANDIDATE,1,36.2761238,4.7865,1572.6,3.03,445,5103,4.562,0.787
169,6948054,K00869.03,Kepler-245 c,CONFIRMED,CANDIDATE,1,17.46087931,2.2641,812.4,2.32,568,5103,4.562,0.787
170,6435936,K00854.01,Kepler-705 b,CONFIRMED,CANDIDATE,0.996,56.0560754,4.685,1626,1.94,233,3593,4.757,0.491
171,6522242,K00855.01,Kepler-706 b,CONFIRMED,CANDIDATE,0.974,41.40831669,5.0264,22839,11.38,453,5522,4.586,0.747
172,6526710,K00856.01,,CANDIDATE,CANDIDATE,0.994,39.74893077,7.3051,15179,14.21,552,6122,4.487,0.964
173,6587280,K00857.01,Kepler-243 b,CONFIRMED,CANDIDATE,1,5.715425977,2.5242,908.1,2.47,850,5237,4.572,0.826
174,9471974,K00119.01,Kepler-108 b,CONFIRMED,CANDIDATE,0.959,49.18394185,11.3364,1646.2,8.2,669,5626,3.907,2.057
175,6587280,K00857.02,Kepler-243 c,CONFIRMED,CANDIDATE,0.994,20.0261412,1.611,421.2,2.28,559,5237,4.572,0.826
176,6599919,K00858.01,,FALSE POSITIVE,FALSE POSITIVE,0,13.61014819,2.594,5732.9,19.02,733,5697,4.46,0.903
